paper_no,Name,URL,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20
84,Changing Patterns of Antibiotic Sensitivities in Urinary Tract Infections,http://www.siucongress.org/eipdf/siu2012Abstract00392.pdf,Sunny Doodu Mante,,,,,,,,,,,,,,,,,,,
85,Body Weight Status as Predicted by Body Mass Index and Dual-Energy X-Ray Absorpitometry Scanning Predicts Pre-Treatment Risk of PSA Failure in Men with Clinically Localized Prostate Cancer,http://www.siucongress.org/eipdf/siu2012Abstract00393.pdf,Robert Flanigan,Vincent Freeman,Courtney Hollowell,Jeffrey Branch,Leslie Deane,Marcus Quek,Patricia Vidal,Michael Woods,Firas Dabbous,Daisy Citron,,,,,,,,,,
87,Hereditary Urothelial Carcinomas of the Upper Urinary Tract Are Underestimated and Misclassified as Sporadic Tumours: Results of the French Collaborative Database on UUT-UCC,http://www.siucongress.org/eipdf/siu2012Abstract00395.pdf,Morgan Roupret,François Audenet,Véronique Phé,David Yates,Adil Ouzzane,Laurent Guy,Stephane Droupy,Pierre Colin,Emmanuel Chartier-Kastler,,,,,,,,,,,
88,Cancer-Specific Survival After Nephroureterectomy for Upper Urinary Tract Urothelial Carcinoma: External Validation of a Predictive Nomogram Using a French Collaborative National Database,http://www.siucongress.org/eipdf/siu2012Abstract00396.pdf,Morgan Roupret,Vincent Hupertan,David Yates,Adil Ouzzane,Geraldine Pignot,Véronique Phé,Laurent Guy,Gilles Karsenty,Franck Bruyère,Pierre Colin,Emmanuel Chartier-Kastler,,,,,,,,,
89,Early Experience in Laparoscopic Urology in Nepal,http://www.siucongress.org/eipdf/siu2012Abstract00397.pdf,Robin Joshi,,,,,,,,,,,,,,,,,,,
90,Does Private Health Insurance Status Affect the Pathological Outcomes in Patients Undergoing Radical Prostatectomy in the United Kingdom?,http://www.siucongress.org/eipdf/siu2012Abstract00398.pdf,Simon Robinson,Amrith Rao,Hanif Motiwala,Marc Laniado,Jas Kalsi,Omer Karim,,,,,,,,,,,,,,
92,"Diagnostic Significance of Prostate-Specific Antigen, Density Accuracy and PSAD Adjusted by Transition Zone Volume in Men with PSA Levels Between 2.0 and 4.0 ng/ml",http://www.siucongress.org/eipdf/siu2012Abstract00401.pdf,Mohamed Abbar,Abdellatif Janane,Taher Ould Ismail,Mohamed Ghadouane,Ahmed Ameur,,,,,,,,,,,,,,,
93,Free/Total PSA Ratio: Predictive Value in Auguring Prostate Cancer Occurrence in African Men with Initial PSA Levels of 2.0 to 4.0 ng/ml,http://www.siucongress.org/eipdf/siu2012Abstract00402.pdf,Mohamed Abbar,Abdellatif Janane,Taher Ould Ismail,Mohamed Ghadouane,Ahmed Ameur,,,,,,,,,,,,,,,
94,Hyperbaric Oxygen Therapy (HBOT) Concomittent to Surgery for Fournier's Gangrene,http://www.siucongress.org/eipdf/siu2012Abstract00403.pdf,Mohamed Abbar,Abdellatif Janane,Taher Ould Ismail,Mohamed Ghadouane,Ahmed Ameur,,,,,,,,,,,,,,,
95,Prognostic Value of HER2 Protein Expression in PT1 GII-PT1 GIII Bladder Transitional Cell Carcinoma,http://www.siucongress.org/eipdf/siu2012Abstract00404.pdf,Abdellatif Janane,Taher Ould Ismail,Mohamed Ghadouane,Ahmed Ameur,Mohamed Abbar,,,,,,,,,,,,,,,
96,Total Body Bone Mineral Density and Regional Bone Mineral Density in Patients with Prostate Cancer,http://www.siucongress.org/eipdf/siu2012Abstract00405.pdf,Abdellatif Janane,Taher Ould Ismail,Mohamed Ghadouane,Ahmed Ameur,Mohamed Abbar,,,,,,,,,,,,,,,
97,Value of the Spot Urine Sample for the Metabolic Evaluation of Urolithiasis Patients,http://www.siucongress.org/eipdf/siu2012Abstract00406.pdf,Ahmed El Nashar,Adel Hussein,Ezzat Abu Almajd,Ammar Ghobish,,,,,,,,,,,,,,,,
101,Dynamic Transperineal Ultrasound in the Diagnosis of Female Lower Urinary Symptoms: Our Experience,http://www.siucongress.org/eipdf/siu2012Abstract00411.pdf,Gabriella Mirabile,Barbara Cristina Gentile,Francesco Pisanti,Luca Albanesi,Luca Mavilla,Stefano Brunori,Teuta Shestani,Giorgio Vincenti,Francesco Attisani,Roberto Giulianelli,,,,,,,,,,
103,Female Urethral Diverticula: 10 Years' Experience,http://www.siucongress.org/eipdf/siu2012Abstract00413.pdf,Manlio Schettini,Gabriella Mirabile,Barbara Cristina Gentile,Luca Mavillla,Luca Albanesi,Stefano Brunori,Francesco Attisani,Franesco Pisanti,Giorgio Vincenti,Roberto Giulianelli,,,,,,,,,,
106,Laser Therapy for Stricture of the Ureter,http://www.siucongress.org/eipdf/siu2012Abstract00416.pdf,Ekaterina Kulchavenya,,,,,,,,,,,,,,,,,,,
108,Artificial Urinary Sphincter AMS 800 after Urethroplasty,http://www.siucongress.org/eipdf/siu2012Abstract00418.pdf,Khalid Sayedahmed,Thomas Jachertz,Björn Theodor Kaftan,Jens Riepehusen,Roberto Olianas,,,,,,,,,,,,,,,
109,Urethroplasty after Radiotherapy: A Single-Institutional Experience,http://www.siucongress.org/eipdf/siu2012Abstract00419.pdf,Khalid Sayedahmed,Björn Theodor Kaftan,Thomas Jachertz,Roberto Olianas,,,,,,,,,,,,,,,,
113,"Is Documentation of Urethral Catheterisation Important? An Experience in a District General Hospital, UK",http://www.siucongress.org/eipdf/siu2012Abstract00424.pdf,Waseem Akhter,Tabassum Shaheen,Abid Khattak,Saifal Khan Turk,Frank Chinegwundoh,,,,,,,,,,,,,,,
120,"RNAi-mediated Silencing of Nemo-like Kinase Inhibits Cell Proliferation in Human Bladder Carcinoma Cells

",http://www.siucongress.org/eipdf/siu2012Abstract00431.pdf,Tao Liu,Chuize kong,,,,,,,,,,,,,,,,,,
124,Contemporary Occupational Bladder Cancer: A Systematic Review and Meta-Analysis of Recently Reported Exposures that Increase Risk,http://www.siucongress.org/eipdf/siu2012Abstract00435.pdf,Marcus Cumberbatch,Angela Cox,James Catto,Simon Pickvance,,,,,,,,,,,,,,,,
125,"Caffeic Acid Phenethyl Ester Augments Docetaxel-Cytotoxicity in PC-3 Cells by Inducing Apoptosis Through Modulation of Estrogen Receptors

",http://www.siucongress.org/eipdf/siu2012Abstract00436.pdf,Mai Tolba,Hisham Mosli,Ahmed Al-Abd,Samar Azab,Amani Khalifa,Ashraf Abdel-Naim,,,,,,,,,,,,,,
127,"Orthotopic Sigmoid Versus Ileal Neobladders in Japanese Patients: A Comparative Assessment of Complications, Functional Outcomes and Quality of Life",http://www.siucongress.org/eipdf/siu2012Abstract00438.pdf,Hideaki Miyake,Junya Furukawa,Mototsugu Muramaki,Masato Fujisawa,,,,,,,,,,,,,,,,
128,Prognostic Significance of Tumor Extension Into Venous System in Patients Undergoing Surgical Treatment for Renal Cell Carcinoma with Venous Tumor Thrombus,http://www.siucongress.org/eipdf/siu2012Abstract00439.pdf,Hideaki Miyake,Junya Furukawa,Mototsugu Muramaki,Masato Fujisawa,,,,,,,,,,,,,,,,
129,Outcome of Laparoscopic Upper Heminephrectomy in Children: Two Centers Experience,http://www.siucongress.org/eipdf/siu2012Abstract00440.pdf,Ali Gözen,Dogu Teber,Haytham Badawy,Akram Assem,Jens Rassweiler,,,,,,,,,,,,,,,
131,Tolerability and Efficacy of Newly Developed Penile Injection of Cross-Linked Dextran and Polymethylmethacrylate Mixture on Penile Enhancement: One-Year Follow-up,http://www.siucongress.org/eipdf/siu2012Abstract00442.pdf,Dae Yul Yang,Won Ki Lee,Tae Hyung Kim,Sae-chul Kim,Sung Yong Kim,,,,,,,,,,,,,,,
138,"Laparoscopic Management of Benign Urological Diseases: Experience of 105 Cases
",http://www.siucongress.org/eipdf/siu2012Abstract00450.pdf,N I Bhuiyan,M F Islam,S.A. Kahn,Z H Bhuiyan,K M H Tawhid,N.I.U. Ahmed,K Salahuddin,M.A. Arafat,A.B. Siddique,T.U. Islam,,,,,,,,,,
139,"Laparoscopic Management of Malignant Urological Diseases: Experience of 35 Cases
",http://www.siucongress.org/eipdf/siu2012Abstract00451.pdf,NI Bhuiyan,M F Islam,S.A. Khan,Z H Bhuiyan,K M H Tawhid,N.I.U. Ahmed,K Salahuddin,M.A. Arafat,A.B. Siddique,T.U. Islam,,,,,,,,,,
140,"Bilateral Tubeless and JJ Stentless PCNL: Experience of 17 Cases

",http://www.siucongress.org/eipdf/siu2012Abstract00452.pdf,NI Bhuiyan,M F Islam,Z H Bhuiyan,K M H Tawhid,NIU Ahmed,K Salahuddin,M.A. Arafat,,,,,,,,,,,,,
141,Use of Only Ureteric Catheter 24 to 48 Hours Postoperatively Reduces Nephrostomy Tube and JJ Stent Related Morbidity in Selected Cases of Percutaneous Nephrolithotomy,http://www.siucongress.org/eipdf/siu2012Abstract00453.pdf,NI Bhuiyan,M F Islam,Z H Bhuiyan,K M H Tawhid,NIU Ahmed,K Salahuddin,M.A. Arafat,,,,,,,,,,,,,
142,"Percutaneous Nephrolithotomy in Paediatric Age Group: Single Centre Experience
",http://www.siucongress.org/eipdf/siu2012Abstract00454.pdf,NI Bhuiyan,K M H Tawhid,M F Islam,Z H Bhuiyan,NIU Ahmed,K Salahuddin,M.A. Arafat,,,,,,,,,,,,,
151,Alpha1D-Adrenergic Antagonists Inhibits TRPM8 Receptor Related Cold Stress-induced Detrusor Overactivity in Ovariectomized Rats,http://www.siucongress.org/eipdf/siu2012Abstract00471.pdf,Wataru Noguchi,Tetsuya Imamura,Osamu Ishizuka,Yoshiki Kurizaki,Lei Zhong,Silwal Gautam Sudha,Takahiro Yamagishi,Hitoshi Yokoyama,Osamu Nishizawa,,,,,,,,,,,
152,Subcutaneous Prosthetic Ureter in Kidney Transplant Patients,http://www.siucongress.org/eipdf/siu2012Abstract00472.pdf,Mohammad Yazdani Kachouei,Mohammad Reza Gharaati,Mahtab Zargham,Kia Nouri-Mahdavi,Emadeddin Yazdani Kachouei,,,,,,,,,,,,,,,
153,Endourological Procedures for the Management of Urinary Calculi in Transplanted Kidneys,http://www.siucongress.org/eipdf/siu2012Abstract00473.pdf,Reza Mahdavi,Mahmoud Tavakoli,Rahim Taghavi,Iraj Eftekhar Shahroudi,Farid Aghasizadeh,Alireza Ghoreifi,,,,,,,,,,,,,,
154,Transplantation of Cadaveric Pediatric Kidneys into Adult Recipients,http://www.siucongress.org/eipdf/siu2012Abstract00474.pdf,Reza Mahdavi,Behnam Shakiba,Mahmoud Tavakoli,Kazem Heidari,,,,,,,,,,,,,,,,
155,Successful Transplantation of a Split Crossed Fused Lump Type Ectopic Kidney into Two Patients with ESRD,http://www.siucongress.org/eipdf/siu2012Abstract00475.pdf,Reza Mahdavi,Naser Mogharabian,Alireza Ghoreifi,Behnam Shakiba,,,,,,,,,,,,,,,,
156,A Cross-Sectional Survey of Nocturia in Japan Using the N-QOL,http://www.siucongress.org/eipdf/siu2012Abstract00476.pdf,Tomonori Yamanishi,Shinsuke Kurokawa,Tatsuo Morita,Takao Kamai,,,,,,,,,,,,,,,,
158,Type of Androgen Deprivation Therapy Affects Metabolic Condition and Adipose Tissue Distribution,http://www.siucongress.org/eipdf/siu2012Abstract00480.pdf,Shingo Hatakeyama,Hayato Yamamoto,Hiromi Murasawa,Akiko Okamoto,Atsushi Imai,Takahiro Yoneyama,Yasuhiro Hashimoto,Takuya Koie,Noritaka Kamimura,Chikara Ohyama,,,,,,,,,,
161,New Approach to Robotic Simple Prostatectomy,http://www.siucongress.org/eipdf/siu2012Abstract00483.pdf,Rene Sotelo,Octavio Almanzor,Robert De Andrade,Oswaldo Carmona,Rafael Clavijo,Mihir Desai,Monish Aron,Alvin Goh,Inderbill Gill,,,,,,,,,,,
162,Robotic Repair of Vesicovaginal Fistulae: Transperitoneal Transvaginal Approach,http://www.siucongress.org/eipdf/siu2012Abstract00484.pdf,Rene Sotelo,Rafael Clavijo,Robert De Andrade,Oswaldo Carmona,Octavio Almanzor,Roberto Garza,Mario Urdininea,,,,,,,,,,,,,
170,Association Between History of Acute Urinary Retention and Post-Transurethral Resection of Prostate Complications: A Population-Based Study,http://www.siucongress.org/eipdf/siu2012Abstract00492.pdf,Jeng-Sheng Chen,Wen-Horng Yang,Yea-Huei Kao,Chia-Hsien Chang,,,,,,,,,,,,,,,,
172,"Comparison of 90-Day Readmission Rates Between Retropubic, Laparoscopic, and Robotic-Assisted Radical Prostatectomy",http://www.siucongress.org/eipdf/siu2012Abstract00494.pdf,Po-Wen Ku,Shiu-Dong Chung,Joseph J. Keller,Herng-Ching Lin,Chao-Yuan Huang,Yi-Hua Chen,,,,,,,,,,,,,,
174,"Prevalence of Overactive Bladder Symptoms, Stress Incontinence and Associated Bother in Women Aged 40 and Above: A Belgian Epidemiological Survey",http://www.siucongress.org/eipdf/siu2012Abstract00496.pdf,Dirk De Ridder,Thierry Roumeguère,Jean Smets,,,,,,,,,,,,,,,,,
175,"The Effects of Pilocarpine, a Muscarinic Receptor Agonist, on Contraction of the Urinary Bladder in the Pig and Human",http://www.siucongress.org/eipdf/siu2012Abstract00497.pdf,Tomonori Yamanishi,Miki Fuse,Takao Kamai,Tomoyuki Uchiyama,,,,,,,,,,,,,,,,
176,Intravesical OnabotulinumtoxinA Injections for Refractory Painful Bladder Syndrome,http://www.siucongress.org/eipdf/siu2012Abstract00498.pdf,Po-Wen Ku,Shiu-Dong Chung,Hann-Chorng Kuo,Yuh-Chen Kuo,,,,,,,,,,,,,,,,
177,A Key Role for ARF in Drug Resistance in Invasive Bladder Cancer,http://www.siucongress.org/eipdf/siu2012Abstract00499.pdf,Takashi Kobayashi,Osamu Ogawa,Cory Abate-Shen,,,,,,,,,,,,,,,,,
178,A Nationwide Population-Based Study on the Association between Chronic Periodontitis and Erectile Dysfunction,http://www.siucongress.org/eipdf/siu2012Abstract00500.pdf,Jiun-Siang Tan,Shiu-Dong Chung,Joseph Keller,Herng-Ching Lin,,,,,,,,,,,,,,,,
179,Retroperitoneal Laparoscopic Surgery in the Urologic Practice,http://www.siucongress.org/eipdf/siu2012Abstract00501.pdf,Suniyat Kussymzhanov,Myrza Alchinbayev,,,,,,,,,,,,,,,,,,
183,Alterations in Peripheral Purinergic and Muscarinic Signaling of Rat Bladder After Long-Term Fructose-Induced Metabolic Syndrome,http://www.siucongress.org/eipdf/siu2012Abstract00505.pdf,Jiun-Siang Tan,Shiu-Dong Chung,Chiang-Ting Chien,Hong-Jeng Yu,,,,,,,,,,,,,,,,
184,The Value of 18F-FDG PET-CT for the Evaluation of Treatment Success of Cryosurgery for Small Renal Mass; A Pilot Study,http://www.siucongress.org/eipdf/siu2012Abstract00506.pdf,Brunolf Lagerveld,Rutger Sandkuyl,Ferida Sivro,Han van der Zee,Phillip Baars,,,,,,,,,,,,,,,
185,Comparing the Distribution of Anatomical Complexity of Small Renal Masses Treated With Laparoscopic Cryoablation: PADUA Versus R.E.N.A.L. Nephrometry Score,http://www.siucongress.org/eipdf/siu2012Abstract00507.pdf,Brunolf Lagerveld,Marleen van Dijk,Han van der Zee,,,,,,,,,,,,,,,,,
188,A Unique Case of Male Genital Anomaly Complex and Its Surgical Reconstruction,http://www.siucongress.org/eipdf/siu2012Abstract00510.pdf,Essam Marzouk,,,,,,,,,,,,,,,,,,,
189,Location of Positive Margins in Radical Prostatectomy Specimens: Prognostic Implications,http://www.siucongress.org/eipdf/siu2012Abstract00511.pdf,M. Andreas Roder,Marie-Louise Vrang,Ib Jarle Christen,Lisa Gruschy,Klaus Brasso,Ben Vainer,Peter Iversen,,,,,,,,,,,,,
191,Do Urethrograms Post-Urethroplasty Predict Outcome and Aid Timing of Catheter Removal?,http://www.siucongress.org/eipdf/siu2012Abstract00513.pdf,Jonathan Noel,Andrew Winterbottom,Andrew Doble,Nikesh Thiruchelvam,,,,,,,,,,,,,,,,
194,Laparoscopic Versus Open Radical Cystectomy: A Comparison of Quality of Life Outcomes,http://www.siucongress.org/eipdf/siu2012Abstract00516.pdf,Syed Shahzad,Alan P Doherty,John Parkin,Rupesh I Bhatt,,,,,,,,,,,,,,,,
195,Impact of Histological Variants on Clinical Outcomes of Patients with Upper Urinary Tract Urothelial Carcinoma,http://www.siucongress.org/eipdf/siu2012Abstract00517.pdf,Michael Rink,Brian D. Robinson,Eugene K. Cha,Jens Hansen,Vitaly Margulis,Jay D. Raman,Armin Pycha,Mesut Remzi,Eiji Kikuchi,Karim Bensalah,Wareef Kabbani,Andrea Haitel,Nathalie Rioux-Leclercq,Charles C. Guo,Wassim Kassouf,Kanishka Sircar,Yair Lotan,Pierre I. Karakiewicz,Douglas S. Scherr,Shahrokh F. Shariat
196,Pathological Nodal Staging Scores for Bladder Cancer: A Decision Tool for Adjuvant Therapy After Radical Cystectomy,http://www.siucongress.org/eipdf/siu2012Abstract00518.pdf,Michael Rink,Behfar Ehdaie,Jens Hansen,Marko Babjuk,Axel S. Merseburger,Robert S. Svatek,Eugene K. Cha,Evanguelos Xylinas,Giacomo Novara,Pierre I. Karakiewicz,Siamak Daneshmand,Yair Lotan,Wassim Kassouf,Hans-Martin Fritsche,Margit Fisch,Guru Sonpavde,Douglas S. Scherr,Mithat Gonen,Shahrokh F. Shariat,
